#,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
193,Frozenbyte,AA,13,0,$76.6m,$5.9m,Finland,0.77,0.54,1,0,0.54,0.08,0.08,0.23,0.08,0,0
194,Double Fine Productions,Indie,18,0,$76m,$4.2m,United States,0.78,0.28,0.33,0.22,0.67,0.06,0.22,0.11,0,0,0
195,EA Canada,AAA,1,0,$75.8m,$75.8m,N/A,0,0,0,0,0,1,0,0,0,0,1
196,Warhorse Studios,AA,1,0,$75.5m,$75.5m,Czech Republic,1,0,1,0,1,0,0,1,0,0,0
197,Frictional Games,AA,7,0,$75m,$10.7m,Sweden,1,1,0.71,0,1,0,0,0,0,0,0
198,BANDAI NAMCO Studios,AAA,1,0,$74.9m,$74.9m,N/A,0,0,1,0,0,0,0,1,0,0,0
199,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",AAA,1,0,$74.9m,$74.9m,N/A,0,0,1,0,1,0,0,0,0,0,0
200,ZA/UM,Indie,1,0,$74.8m,$74.8m,Estonia,1,0,0,0,0,0,0,1,0,0,0
201,Stardock Entertainment,AA,19,0,$74.6m,$3.9m,United States,1,0.74,0.16,0.11,0.11,0.42,0.95,0.26,0,0,0
202,THQ Nordic,AA,19,0,$74.2m,$3.9m,Austria,0.95,0,0.42,0,0.21,0.21,0.42,0.42,0,0.11,0.05
203,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",AAA,1,0,$73.1m,$73.1m,Canada,0,0,1,0,1,0,0,0,0,0,0
204,Daedalic Entertainment,Indie,24,2,$72.9m,$3m,Germany,0.96,0.92,0.12,0.08,0.96,0.04,0.12,0.19,0,0,0
205,Red Hook Studios,AA,2,0,$72.7m,$36.4m,Canada,1,1,0,0,0,0,1,1,0,0,0
206,Zenimax Online Studios,Indie,3,0,$72.2m,$24.1m,United States,0,0,0.67,0,0.33,0,0,1,1,0,0
207,2K Boston,AAA,2,0,$70.3m,$35.1m,N/A,0,0,1,0,0,0,0,1,0,0,0
208,Tantalus Media,Indie,2,0,$69.8m,$34.9m,N/A,0,0,0,0,0,0,1,0,0,0,0
209,People Can Fly,Indie,3,0,$69.3m,$23.1m,Poland,0,0,1,0,0.67,0,0,0.33,0,0,0
210,Coatsink,Indie,8,1,$68.2m,$8.5m,United Kingdom,0.67,0.78,0.33,0.44,0.44,0.33,0.44,0,0,0,0
211,"Nicalis, Inc.",Indie,8,0,$68m,$8.5m,United States,1,0.63,0.75,0.25,0.63,0,0.13,0.13,0,0,0
212,YAGER,Indie,3,0,$67.9m,$22.6m,Germany,0.33,0,1,0,0.33,0,0,0,0.67,0,0
213,Ninja Theory,Indie,6,1,$67.7m,$11.3m,United Kingdom,0.57,0.29,1,0,0.71,0,0,0,0,0,0
214,Slightly Mad Studios,Indie,8,0,$66.6m,$8.3m,United Kingdom,0.25,0,0.13,0,0,0.25,0,0,0,1,0.25
215,Studio MDHR Entertainment Inc.,AA,1,0,$66.5m,$66.5m,United States,1,1,1,0,0,0,0,0,0,0,0
216,Blind Squirrel,Indie,2,0,$65m,$32.5m,N/A,0,0,1,0,0,0,0,1,0,0,0
217,Edmund McMillen,Indie,6,1,$64.3m,$10.7m,United States,0.71,0.86,0.43,0.14,0.71,0.14,0.29,0.14,0,0,0
218,Toadman Interactive,Indie,3,1,$64.3m,$21.4m,Sweden,0.75,0.25,1,0.25,0.5,0,0.5,0.25,0.5,0,0.25
219,PlatinumGames,Indie,14,0,$64.1m,$4.6m,N/A,0,0.64,0.36,0.64,0.86,0,0.14,0,0,0,0
220,FireFly Studios,Indie,13,1,$63.5m,$4.9m,United Kingdom,0.86,0,0.07,0,0,0.64,0.93,0.07,0.14,0,0
221,Vigil Games,Indie,4,0,$62.9m,$15.7m,United States,0,0,1,0,1,0,0,0.5,0,0,0
222,Team17,Indie,5,0,$62.6m,$12.5m,United Kingdom,0.8,0.8,0.6,0.4,0.2,0.2,0.4,0,0,0,0
223,Artplant,Indie,4,0,$62.6m,$15.6m,Norway,0.5,0.25,1,0,0.25,0.25,0.5,0.25,0.5,0.25,0.25
224,RuneStorm,Indie,4,0,$62.1m,$15.5m,N/A,0.75,1,0.25,0,0,0.75,0.25,0,0,0,0
225,Boneloaf,Indie,1,0,$60.9m,$60.9m,United Kingdom,1,1,1,1,1,1,0,0,0,0,0
226,Maxis™,Indie,3,0,$60.8m,$20.3m,United States,0,0,0.33,0.67,0.67,1,0.33,0.33,0,0,0
227,Respawn,Indie,1,0,$60.3m,$60.3m,N/A,0,0,1,0,1,0,0,0,0,0,0
228,MOTIVE,Indie,2,0,$60.3m,$30.1m,Canada,0,0,1,0,0.5,0.5,0,0,0,0,0
229,Chucklefish,AA,2,2,$60.2m,$30.1m,United Kingdom,1,0.75,0.25,0.25,0.25,0.25,0.5,0.5,0,0,0
230,Steel Wool Studios,Indie,7,0,$60.1m,$8.6m,United States,0.43,0.29,0.57,0.29,0.29,0.14,0.29,0,0,0,0
231,Realmforge Studios,Indie,10,1,$59.7m,$6m,Germany,0,0,0.27,0,0.18,0.64,0.91,0.36,0,0,0
232,Shiver,Indie,1,0,$59.6m,$59.6m,N/A,0,0,1,0,0,0,0,0,0,0,0
233,Expansive Worlds,Indie,4,0,$59.2m,$14.8m,Sweden,1,0,0.5,0.25,1,1,0,0,0,0,0.75
234,Piranha Bytes,Indie,8,0,$58.9m,$7.4m,Germany,0,0,0.63,0,0.25,0,0,1,0,0,0
